OBJECTID:,119
Confirmed:,27769
Deaths:,393
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10492619.889283663
Y: 4347015.2029840825"
OBJECTID:,911
Confirmed:,368
Deaths:,6
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10985519.48013721
Y: 4471054.914978927"
OBJECTID:,917
Confirmed:,264
Deaths:,6
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10713991.056529151
Y: 4460027.7135049244"
OBJECTID:,918
Confirmed:,2377
Deaths:,47
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10558240.673035301
Y: 4462729.2658844739"
OBJECTID:,924
Confirmed:,159
Deaths:,9
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -11050811.917032
Y: 4465783.5586012611"
OBJECTID:,925
Confirmed:,3877
Deaths:,105
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10779930.852998337
Y: 4472307.6532087969"
OBJECTID:,926
Confirmed:,4578
Deaths:,73
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10558927.300560074
Y: 4509979.2970496938"
OBJECTID:,932
Confirmed:,178
Deaths:,5
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10713799.305366674
Y: 4502492.088678035"
OBJECTID:,946
Confirmed:,603
Deaths:,18
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10917746.316219967
Y: 4465868.5776564348"
OBJECTID:,955
Confirmed:,730
Deaths:,15
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10924492.604641339
Y: 4517326.6390333846"
OBJECTID:,956
Confirmed:,238
Deaths:,4
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -11052428.412961293
Y: 4517241.2152193272"
OBJECTID:,957
Confirmed:,2656
Deaths:,10
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10608580.136027209
Y: 4465781.5645233914"
OBJECTID:,970
Confirmed:,3367
Deaths:,73
Last_Update:,3/16/2021 12:25:52 AM
*geometry*,"*Point:*
X: -10658094.576877002
Y: 4465954.10885032"
OBJECTID:,974
Confirmed:,1741
Deaths:,26
